"Gene > GO Annotation > Ontology Term . Name","Gene > Systematic Name","Gene > GO Annotation > Ontology Term . Namespace"
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity","YML110C","molecular_function"
"2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity","YEL038W","molecular_function"
"2 iron, 2 sulfur cluster binding","YBR014C","molecular_function"
"2 iron, 2 sulfur cluster binding","YDL010W","molecular_function"
"2 iron, 2 sulfur cluster binding","YDR098C","molecular_function"
"2 iron, 2 sulfur cluster binding","YEL024W","molecular_function"
"2 iron, 2 sulfur cluster binding","YER174C","molecular_function"
"2 iron, 2 sulfur cluster binding","YGR286C","molecular_function"
"2 iron, 2 sulfur cluster binding","YKL195W","molecular_function"
"2 iron, 2 sulfur cluster binding","YKR071C","molecular_function"
"2 iron, 2 sulfur cluster binding","YLL041C","molecular_function"
"2 iron, 2 sulfur cluster binding","YOR226C","molecular_function"
"2 iron, 2 sulfur cluster binding","YPL059W","molecular_function"
"2 iron, 2 sulfur cluster binding","YPL135W","molecular_function"
"2 iron, 2 sulfur cluster binding","YPL252C","molecular_function"
"2-isopropylmalate synthase activity","YNL104C","molecular_function"
"2-isopropylmalate synthase activity","YOR108W","molecular_function"
"2-micrometer circle DNA","YDR180W","cellular_component"
"2-micrometer plasmid partitioning","YDR180W","biological_process"
"2-micrometer plasmid partitioning","YKL049C","biological_process"
"2-octaprenyl-6-methoxyphenol hydroxylase activity","YGR255C","molecular_function"
"2-oxoglutarate metabolic process","YDR148C","biological_process"
"2-oxoglutarate metabolic process","YFR049W","biological_process"
"2-oxoglutarate metabolic process","YIL125W","biological_process"
"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity","YOL096C","molecular_function"
"3'(2'),5'-bisphosphate nucleotidase activity","YOL064C","molecular_function"
"3',5'-cyclic-AMP phosphodiesterase activity","YGL248W","molecular_function"
"3',5'-cyclic-AMP phosphodiesterase activity","YOR360C","molecular_function"
"3',5'-cyclic-nucleotide phosphodiesterase activity","YGL248W","molecular_function"
"3',5'-cyclic-nucleotide phosphodiesterase activity","YOR360C","molecular_function"
"3'-5' DNA helicase activity","YIR002C","molecular_function"
"3'-5'-exodeoxyribonuclease activity","YBL055C","molecular_function"
"3'-5'-exodeoxyribonuclease activity","YDL102W","molecular_function"
"3'-5' exonuclease activity","YGR276C","molecular_function"
"3'-5' exonuclease activity","YLR059C","molecular_function"
"3'-5' exonuclease activity","YLR107W","molecular_function"
"3'-5' exonuclease activity","YMR224C","molecular_function"
"3'-5' exonuclease activity","YOL080C","molecular_function"
"3'-5' exonuclease activity","YOR001W","molecular_function"
"3'-5' exonuclease activity","YOR330C","molecular_function"
"3'-5'-exoribonuclease activity","YAL021C","molecular_function"
"3'-5'-exoribonuclease activity","YGR276C","molecular_function"
"3'-5'-exoribonuclease activity","YLR059C","molecular_function"
"3'-5'-exoribonuclease activity","YLR107W","molecular_function"
"3'-5'-exoribonuclease activity","YNR052C","molecular_function"
"3'-5'-exoribonuclease activity","YOL021C","molecular_function"
"3'-5'-exoribonuclease activity","YOR001W","molecular_function"
"3-beta-hydroxy-delta5-steroid dehydrogenase activity","YGL001C","molecular_function"
"3-chloroallyl aldehyde dehydrogenase activity","YMR110C","molecular_function"
"3-dehydroquinate dehydratase activity","YDR127W","molecular_function"
"3-dehydroquinate synthase activity","YDR127W","molecular_function"
"3-dehydrosphinganine reductase activity","YBR265W","molecular_function"
"3-demethylubiquinone-6 3-O-methyltransferase activity","YOL096C","molecular_function"
"3-demethylubiquinone-9 3-O-methyltransferase activity","YOL096C","molecular_function"
"3-deoxy-7-phosphoheptulonate synthase activity","YBR249C","molecular_function"
"3-deoxy-7-phosphoheptulonate synthase activity","YDR035W","molecular_function"
"3'-flap-structured DNA binding","YAL027W","molecular_function"
"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity","YHR067W","molecular_function"
"3-hydroxyacyl-CoA dehydratase activity","YJL097W","molecular_function"
"3-hydroxyacyl-CoA dehydrogenase activity","YKR009C","molecular_function"
"3-hydroxyanthranilate 3,4-dioxygenase activity","YJR025C","molecular_function"
"3-hydroxyisobutyryl-CoA hydrolase activity","YDR036C","molecular_function"
"3 iron, 4 sulfur cluster binding","YLL041C","molecular_function"
"3-isopropylmalate dehydratase activity","YGL009C","molecular_function"
"3-isopropylmalate dehydratase complex","YGL009C","cellular_component"
"3-keto-sphinganine metabolic process","YBR265W","biological_process"
"3-keto sterol reductase activity","YLR100W","molecular_function"
"3-methyl-2-oxobutanoate hydroxymethyltransferase activity","YBR176W","molecular_function"
"3-methylbutanol:NAD(P) oxidoreductase activity","YOL151W","molecular_function"
"3-oxo-5-alpha-steroid 4-dehydrogenase activity","YIL049W","molecular_function"
"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity","YPL231W","molecular_function"
"3-oxoacyl-[acyl-carrier-protein] synthase activity","YER061C","molecular_function"
"3-oxoacyl-[acyl-carrier-protein] synthase activity","YPL231W","molecular_function"
"3-phosphoshikimate 1-carboxyvinyltransferase activity","YDR127W","molecular_function"
"3'-tRNA processing endoribonuclease activity","YKR079C","molecular_function"
"3'-tyrosyl-DNA phosphodiesterase activity","YKL114C","molecular_function"
"3'-UTR-mediated mRNA destabilization","YBR212W","biological_process"
"4-alpha-glucanotransferase activity","YPR184W","molecular_function"
"4-amino-4-deoxychorismate lyase activity","YMR289W","molecular_function"
"4-amino-4-deoxychorismate synthase activity","YNR033W","molecular_function"
"4-aminobutyrate transaminase activity","YGR019W","molecular_function"
"4-hydroxy-4-methyl-2-oxoglutarate aldolase activity","YER010C","molecular_function"
"4-hydroxybenzoate decaprenyltransferase activity","YNR041C","molecular_function"
"4-hydroxybenzoate nonaprenyltransferase activity","YNR041C","molecular_function"
"4-hydroxybenzoate octaprenyltransferase activity","YNR041C","molecular_function"
"4 iron, 4 sulfur cluster binding","YBR163W","molecular_function"
"4 iron, 4 sulfur cluster binding","YDL102W","molecular_function"
"4 iron, 4 sulfur cluster binding","YDR234W","molecular_function"
"4 iron, 4 sulfur cluster binding","YER171W","molecular_function"
"4 iron, 4 sulfur cluster binding","YGL009C","molecular_function"
"4 iron, 4 sulfur cluster binding","YGL091C","molecular_function"
"4 iron, 4 sulfur cluster binding","YGR286C","molecular_function"
"4 iron, 4 sulfur cluster binding","YHR164C","molecular_function"
"4 iron, 4 sulfur cluster binding","YIL003W","molecular_function"
"4 iron, 4 sulfur cluster binding","YJL200C","molecular_function"
"4 iron, 4 sulfur cluster binding","YJR016C","molecular_function"
"4 iron, 4 sulfur cluster binding","YJR137C","molecular_function"
"4 iron, 4 sulfur cluster binding","YKL045W","molecular_function"
"4 iron, 4 sulfur cluster binding","YLL041C","molecular_function"
"4 iron, 4 sulfur cluster binding","YLR304C","molecular_function"
"4 iron, 4 sulfur cluster binding","YNL102W","molecular_function"
"4 iron, 4 sulfur cluster binding","YNL240C","molecular_function"
"4 iron, 4 sulfur cluster binding","YOL043C","molecular_function"
"4 iron, 4 sulfur cluster binding","YOR196C","molecular_function"
"4 iron, 4 sulfur cluster binding","YOR356W","molecular_function"
"4 iron, 4 sulfur cluster binding","YPL207W","molecular_function"
"5'-3' exonuclease activity","YGL173C","molecular_function"
"5'-3' exonuclease activity","YKL113C","molecular_function"
"5'-3' exonuclease activity","YOR033C","molecular_function"
"5'-3' exoribonuclease activity","YGL173C","molecular_function"
"5'-3' exoribonuclease activity","YOR048C","molecular_function"
"5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport","YLR237W","biological_process"
"5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport","YOR071C","biological_process"
"5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity","YLR237W","molecular_function"
"5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity","YOR071C","molecular_function"
"5-amino-6-(5-phosphoribosylamino)uracil reductase activity","YBR153W","molecular_function"
"5-aminolevulinate synthase activity","YDR232W","molecular_function"
"5'-deoxyribose-5-phosphate lyase activity","YOL115W","molecular_function"
"5'-flap endonuclease activity","YBR228W","molecular_function"
"5'-flap endonuclease activity","YHR164C","molecular_function"
"5'-flap endonuclease activity","YKL113C","molecular_function"
"5'-flap endonuclease activity","YLR135W","molecular_function"
"5'-flap endonuclease activity","YOR033C","molecular_function"
"5'-flap-structured DNA binding","YAL027W","molecular_function"
"5-formyltetrahydrofolate cyclo-ligase activity","YER183C","molecular_function"
"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity","YER091C","molecular_function"
"5-phosphoribose 1-diphosphate biosynthetic process","YER099C","biological_process"
"5-phosphoribose 1-diphosphate biosynthetic process","YHL011C","biological_process"
"5-phosphoribose 1-diphosphate biosynthetic process","YKL181W","biological_process"
"5-phosphoribose 1-diphosphate biosynthetic process","YOL061W","biological_process"
"5S class rRNA transcription from RNA polymerase III type 1 promoter","YBR123C","biological_process"
"5S class rRNA transcription from RNA polymerase III type 1 promoter","YDR362C","biological_process"
"5S class rRNA transcription from RNA polymerase III type 1 promoter","YGR047C","biological_process"
"5S class rRNA transcription from RNA polymerase III type 1 promoter","YOR110W","biological_process"
"5S class rRNA transcription from RNA polymerase III type 1 promoter","YPL007C","biological_process"
"5S class rRNA transcription from RNA polymerase III type 1 promoter","YPR186C","biological_process"
"5S rRNA binding","YKR081C","molecular_function"
"5S rRNA binding","YOL077C","molecular_function"
"5S rRNA binding","YPL131W","molecular_function"
"6,7-dimethyl-8-ribityllumazine synthase activity","YOL143C","molecular_function"
"6-phosphofructo-2-kinase activity","YIL107C","molecular_function"
"6-phosphofructo-2-kinase activity","YJL155C","molecular_function"
"6-phosphofructo-2-kinase activity","YOL136C","molecular_function"
"6-phosphofructokinase activity","YGR240C","molecular_function"
"6-phosphofructokinase activity","YMR205C","molecular_function"
"6-phosphofructokinase complex","YGR240C","cellular_component"
"6-phosphofructokinase complex","YMR205C","cellular_component"
"6-phosphogluconolactonase activity","YHR163W","molecular_function"
"6-phosphogluconolactonase activity","YNR034W","molecular_function"
"7,8-dihydroneopterin 3'-triphosphate biosynthetic process","YGL221C","biological_process"
"7,8-dihydroneopterin 3'-triphosphate biosynthetic process","YGR267C","biological_process"
"7-methylguanosine cap hypermethylation","YPL157W","biological_process"
"7-methylguanosine mRNA capping","YBR160W","biological_process"
"7-methylguanosine mRNA capping","YBR236C","biological_process"
"7-methylguanosine mRNA capping","YGL130W","biological_process"
"7-methylguanosine mRNA capping","YGR063C","biological_process"
"7-methylguanosine mRNA capping","YML010W","biological_process"
"7-methylguanosine mRNA capping","YPL228W","biological_process"
"7-methylguanosine RNA capping","YPL157W","biological_process"
"7S RNA binding","YDL092W","molecular_function"
"7S RNA binding","YKR081C","molecular_function"
"7S RNA binding","YML105C","molecular_function"
"7S RNA binding","YPL210C","molecular_function"
"7S RNA binding","YPL243W","molecular_function"
"7S RNA binding","YPR088C","molecular_function"
"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity","YLR151C","molecular_function"
"90S preribosome","YBR247C","cellular_component"
"90S preribosome","YCL059C","cellular_component"
"90S preribosome","YCR057C","cellular_component"
"90S preribosome","YDL014W","cellular_component"
"90S preribosome","YDL060W","cellular_component"
"90S preribosome","YDL148C","cellular_component"
"90S preribosome","YDL213C","cellular_component"
"90S preribosome","YDR299W","cellular_component"
"90S preribosome","YDR324C","cellular_component"
"90S preribosome","YDR449C","cellular_component"
"90S preribosome","YER082C","cellular_component"
"90S preribosome","YFL002C","cellular_component"
"90S preribosome","YGL120C","cellular_component"
"90S preribosome","YGL171W","cellular_component"
"90S preribosome","YGR081C","cellular_component"
"90S preribosome","YGR090W","cellular_component"
"90S preribosome","YGR128C","cellular_component"
"90S preribosome","YGR145W","cellular_component"
"90S preribosome","YHR148W","cellular_component"
"90S preribosome","YHR169W","cellular_component"
"90S preribosome","YHR196W","cellular_component"
"90S preribosome","YJL010C","cellular_component"
"90S preribosome","YJL069C","cellular_component"
"90S preribosome","YJL109C","cellular_component"
"90S preribosome","YJR002W","cellular_component"
"90S preribosome","YJR123W","cellular_component"
"90S preribosome","YKR060W","cellular_component"
"90S preribosome","YLL011W","cellular_component"
"90S preribosome","YLR129W","cellular_component"
"90S preribosome","YLR175W","cellular_component"
"90S preribosome","YLR186W","cellular_component"
"90S preribosome","YLR197W","cellular_component"
"90S preribosome","YLR222C","cellular_component"
"90S preribosome","YLR340W","cellular_component"
"90S preribosome","YLR409C","cellular_component"
"90S preribosome","YLR441C","cellular_component"
"90S preribosome","YML063W","cellular_component"
"90S preribosome","YMR093W","cellular_component"
"90S preribosome","YMR128W","cellular_component"
"90S preribosome","YMR229C","cellular_component"
"90S preribosome","YMR290C","cellular_component"
"90S preribosome","YNL075W","cellular_component"
"90S preribosome","YNL132W","cellular_component"
"90S preribosome","YNL178W","cellular_component"
"90S preribosome","YNL224C","cellular_component"
"90S preribosome","YNL308C","cellular_component"
"90S preribosome","YNR054C","cellular_component"
"90S preribosome","YOR145C","cellular_component"
"90S preribosome","YOR310C","cellular_component"
"90S preribosome","YPL012W","cellular_component"
"90S preribosome","YPL126W","cellular_component"
"90S preribosome","YPL217C","cellular_component"
"90S preribosome","YPL266W","cellular_component"
"90S preribosome","YPR112C","cellular_component"
"90S preribosome","YPR137W","cellular_component"
"90S preribosome","YPR144C","cellular_component"
"acetate biosynthetic process","YER073W","biological_process"
"acetate biosynthetic process","YOR374W","biological_process"
"acetate biosynthetic process","YPL061W","biological_process"
"acetate-CoA ligase activity","YLR153C","molecular_function"
"acetate CoA-transferase activity","YBL015W","molecular_function"
"acetate ester metabolic process involved in fermentation","YGR177C","biological_process"
"acetate ester metabolic process involved in fermentation","YOR377W","biological_process"
"acetate metabolic process","YBL015W","biological_process"
"acetate metabolic process","YOR126C","biological_process"
"acetate transport","YLL043W","biological_process"
"acetolactate synthase activity","YCL009C","molecular_function"
"acetolactate synthase complex","YCL009C","cellular_component"
"acetyl-CoA biosynthetic process","YLR153C","biological_process"
"acetyl-CoA biosynthetic process from acetate","YLR153C","biological_process"
"acetyl-CoA biosynthetic process from pyruvate","YBR221C","biological_process"
"acetyl-CoA biosynthetic process from pyruvate","YER178W","biological_process"
"acetyl-CoA biosynthetic process from pyruvate","YGR193C","biological_process"
"acetyl-CoA biosynthetic process from pyruvate","YNL071W","biological_process"
"acetyl-CoA C-acetyltransferase activity","YPL028W","molecular_function"
"acetyl-CoA catabolic process","YNR001C","biological_process"
"acetyl-CoA hydrolase activity","YBL015W","molecular_function"
"acetyl-CoA:L-glutamate N-acetyltransferase activity","YJL071W","molecular_function"
"acetyl-CoA:L-glutamate N-acetyltransferase activity","YMR062C","molecular_function"
"acetyl-CoA metabolic process","YBL015W","biological_process"
"acetylglucosaminyltransferase activity","YOR320C","molecular_function"
"acetylglutamate kinase activity","YER069W","molecular_function"
"acetyltransferase activity","YDR181C","molecular_function"
"acetyltransferase activity","YFR027W","molecular_function"
"acetyltransferase activity","YMR127C","molecular_function"
"acetyltransferase activity","YOR213C","molecular_function"
"acid-ammonia (or amide) ligase activity","YLR153C","molecular_function"
"acid phosphatase activity","YDR051C","molecular_function"
"acid phosphatase activity","YLR410W","molecular_function"
"acid phosphatase activity","YPR073C","molecular_function"
"acireductone dioxygenase [iron(II)-requiring] activity","YMR009W","molecular_function"
"acireductone dioxygenase (Ni2+-requiring) activity","YMR009W","molecular_function"
"acireductone synthase activity","YEL038W","molecular_function"
"aconitate hydratase activity","YJL200C","molecular_function"
"aconitate hydratase activity","YLR304C","molecular_function"
"ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process","YKL192C","molecular_function"
"actin binding","YAL029C","molecular_function"
"actin binding","YBL007C","molecular_function"
"actin binding","YBR234C","molecular_function"
"actin binding","YCR059C","molecular_function"
"actin binding","YCR088W","molecular_function"
"actin binding","YDL178W","molecular_function"
"actin binding","YDL226C","molecular_function"
"actin binding","YDR388W","molecular_function"
"actin binding","YGR080W","molecular_function"
"actin binding","YHR023W","molecular_function"
"actin binding","YIL034C","molecular_function"
"actin binding","YIR006C","molecular_function"
"actin binding","YJR065C","molecular_function"
"actin binding","YKL007W","molecular_function"
"actin binding","YKL013C","molecular_function"
"actin binding","YLR319C","molecular_function"
"actin binding","YLR337C","molecular_function"
"actin binding","YLR370C","molecular_function"
"actin binding","YLR429W","molecular_function"
"actin binding","YMR092C","molecular_function"
"actin binding","YMR109W","molecular_function"
"actin binding","YNL084C","molecular_function"
"actin binding","YNL138W","molecular_function"
"actin binding","YNL243W","molecular_function"
"actin binding","YNL271C","molecular_function"
"actin binding","YNR031C","molecular_function"
"actin binding","YOR181W","molecular_function"
"actin binding","YOR281C","molecular_function"
"actin binding","YOR326W","molecular_function"
"actin binding","YPL242C","molecular_function"
"actin cap","YFL005W","cellular_component"
"actin cortical patch","YBL007C","cellular_component"
"actin cortical patch","YBL047C","cellular_component"
"actin cortical patch","YBR234C","cellular_component"
"actin cortical patch","YBR260C","cellular_component"
"actin cortical patch","YCL034W","cellular_component"
"actin cortical patch","YCR009C","cellular_component"
"actin cortical patch","YCR088W","cellular_component"
"actin cortical patch","YDL146W","cellular_component"
"actin cortical patch","YDL161W","cellular_component"
"actin cortical patch","YDR388W","cellular_component"
"actin cortical patch","YER125W","cellular_component"
"actin cortical patch","YGL181W","cellular_component"
"actin cortical patch","YGR080W","cellular_component"
"actin cortical patch","YGR136W","cellular_component"
"actin cortical patch","YGR198W","cellular_component"
"actin cortical patch","YGR241C","cellular_component"
"actin cortical patch","YHR114W","cellular_component"
"actin cortical patch","YHR161C","cellular_component"
"actin cortical patch","YIL002C","cellular_component"
"actin cortical patch","YIL034C","cellular_component"
"actin cortical patch","YIL062C","cellular_component"
"actin cortical patch","YIL095W","cellular_component"
"actin cortical patch","YIR003W","cellular_component"
"actin cortical patch","YIR006C","cellular_component"
"actin cortical patch","YJL020C","cellular_component"
"actin cortical patch","YJR065C","cellular_component"
"actin cortical patch","YJR125C","cellular_component"
"actin cortical patch","YKL007W","cellular_component"
"actin cortical patch","YKL013C","cellular_component"
"actin cortical patch","YKR001C","cellular_component"
"actin cortical patch","YLL038C","cellular_component"
"actin cortical patch","YLR206W","cellular_component"
"actin cortical patch","YLR337C","cellular_component"
"actin cortical patch","YLR342W","cellular_component"
"actin cortical patch","YLR429W","cellular_component"
"actin cortical patch","YML052W","cellular_component"
"actin cortical patch","YMR092C","cellular_component"
"actin cortical patch","YMR109W","cellular_component"
"actin cortical patch","YNL020C","cellular_component"
"actin cortical patch","YNL084C","cellular_component"
"actin cortical patch","YNL094W","cellular_component"
"actin cortical patch","YNL106C","cellular_component"
"actin cortical patch","YNL138W","cellular_component"
"actin cortical patch","YNL243W","cellular_component"
"actin cortical patch","YOR109W","cellular_component"
"actin cortical patch","YOR181W","cellular_component"
"actin cortical patch","YOR329C","cellular_component"
"actin cortical patch","YOR367W","cellular_component"
"actin cortical patch","YPR171W","cellular_component"
"actin cortical patch assembly","YBL007C","biological_process"
"actin cortical patch assembly","YCR030C","biological_process"
"actin cortical patch assembly","YCR088W","biological_process"
"actin cortical patch assembly","YDL161W","biological_process"
"actin cortical patch assembly","YIL062C","biological_process"
"actin cortical patch assembly","YIL095W","biological_process"
"actin cortical patch assembly","YIR006C","biological_process"
"actin cortical patch assembly","YJR125C","biological_process"
"actin cortical patch assembly","YKL013C","biological_process"
"actin cortical patch assembly","YLL038C","biological_process"
"actin cortical patch assembly","YLR206W","biological_process"
"actin cortical patch assembly","YNL020C","biological_process"
"actin cortical patch assembly","YNL084C","biological_process"
"actin cortical patch localization","YBL060W","biological_process"
"actin cortical patch localization","YCL034W","biological_process"
"actin cortical patch localization","YCR009C","biological_process"
"actin cortical patch localization","YCR094W","biological_process"
"actin cortical patch localization","YDR388W","biological_process"
"actin cortical patch localization","YLR337C","biological_process"
"actin cortical patch localization","YLR429W","biological_process"
"actin cortical patch localization","YMR109W","biological_process"
"actin cortical patch localization","YOR094W","biological_process"
"actin cortical patch localization","YOR129C","biological_process"
"actin cortical patch localization","YOR181W","biological_process"
"actin cortical patch localization","YPR171W","biological_process"
"actin cortical patch organization","YBL047C","biological_process"
"actin cortical patch organization","YGR080W","biological_process"
"actin cytoskeleton","YBR234C","cellular_component"
"actin cytoskeleton","YIL062C","cellular_component"
"actin cytoskeleton","YIR003W","cellular_component"
"actin cytoskeleton","YKL013C","cellular_component"
"actin cytoskeleton","YNL094W","cellular_component"
"actin cytoskeleton organization","YBR059C","biological_process"
"actin cytoskeleton organization","YCL034W","biological_process"
"actin cytoskeleton organization","YCR009C","biological_process"
"actin cytoskeleton organization","YDL047W","biological_process"
"actin cytoskeleton organization","YDR098C","biological_process"
"actin cytoskeleton organization","YEL022W","biological_process"
"actin cytoskeleton organization","YER174C","biological_process"
"actin cytoskeleton organization","YGR245C","biological_process"
"actin cytoskeleton organization","YIL034C","biological_process"
"actin cytoskeleton organization","YIL105C","biological_process"
"actin cytoskeleton organization","YJL020C","biological_process"
"actin cytoskeleton organization","YJR031C","biological_process"
"actin cytoskeleton organization","YJR125C","biological_process"
"actin cytoskeleton organization","YKR001C","biological_process"
"actin cytoskeleton organization","YLR144C","biological_process"
"actin cytoskeleton organization","YLR337C","biological_process"
"actin cytoskeleton organization","YNL047C","biological_process"
"actin cytoskeleton organization","YNL094W","biological_process"
"actin cytoskeleton organization","YNL138W","biological_process"
"actin cytoskeleton organization","YNL243W","biological_process"
"actin cytoskeleton organization","YNL271C","biological_process"
"actin cytoskeleton organization","YOR008C","biological_process"
"actin cytoskeleton organization","YOR035C","biological_process"
"actin cytoskeleton organization","YPL161C","biological_process"
"actin cytoskeleton organization","YPR165W","biological_process"
"actin cytoskeleton reorganization","YCR009C","biological_process"
"actin cytoskeleton reorganization","YPR165W","biological_process"
"actin filament","YIL034C","cellular_component"
"actin filament","YKL007W","cellular_component"
"actin filament","YMR092C","cellular_component"
"actin filament","YNL271C","cellular_component"
"actin filament-based process","YDR159W","biological_process"
"actin filament-based process","YDR484W","biological_process"
"actin filament binding","YAL029C","molecular_function"
"actin filament binding","YCR088W","molecular_function"
"actin filament binding","YGR080W","molecular_function"
"actin filament binding","YIL034C","molecular_function"
"actin filament binding","YKL007W","molecular_function"
"actin filament binding","YLR429W","molecular_function"
"actin filament binding","YOR326W","molecular_function"
"actin filament binding","YOR367W","molecular_function"
"actin filament bundle","YIL138C","cellular_component"
"actin filament bundle","YOR326W","cellular_component"
"actin filament bundle assembly","YIL105C","biological_process"
"actin filament bundle assembly","YIL138C","biological_process"
"actin filament bundle assembly","YIL159W","biological_process"
"actin filament bundle assembly","YLR319C","biological_process"
"actin filament bundle assembly","YNL047C","biological_process"
"actin filament bundle assembly","YNL271C","biological_process"
"actin filament bundle assembly","YOR094W","biological_process"
"actin filament capping","YIL034C","biological_process"
"actin filament capping","YKL007W","biological_process"
"actin filament depolymerization","YGR080W","biological_process"
"actin filament depolymerization","YMR092C","biological_process"
"actin filament organization","YBL007C","biological_process"
"actin filament organization","YBL105C","biological_process"
"actin filament organization","YBR234C","biological_process"
"actin filament organization","YCL034W","biological_process"
"actin filament organization","YDL135C","biological_process"
"actin filament organization","YDL161W","biological_process"
"actin filament organization","YGR080W","biological_process"
"actin filament organization","YHR114W","biological_process"
"actin filament organization","YIL095W","biological_process"
"actin filament organization","YIL138C","biological_process"
"actin filament organization","YJL128C","biological_process"
"actin filament organization","YJR065C","biological_process"
"actin filament organization","YJR125C","biological_process"
"actin filament organization","YLL038C","biological_process"
"actin filament organization","YLR206W","biological_process"
"actin filament organization","YLR337C","biological_process"
"actin filament organization","YLR370C","biological_process"
"actin filament organization","YLR429W","biological_process"
"actin filament organization","YNL020C","biological_process"
"actin filament organization","YNL032W","biological_process"
"actin filament organization","YNL084C","biological_process"
"actin filament organization","YNL090W","biological_process"
"actin filament organization","YNL138W","biological_process"
"actin filament organization","YNL243W","biological_process"
"actin filament organization","YOR043W","biological_process"
"actin filament organization","YOR127W","biological_process"
"actin filament organization","YOR181W","biological_process"
"actin filament organization","YOR329C","biological_process"
"actin filament organization","YOR367W","biological_process"
"actin filament organization","YPL242C","biological_process"
"actin filament polymerization","YBL007C","biological_process"
