!
!Date: 05/15/2015
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-P41-HG001315 
!

Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
DAN1	YJR150C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
DAN4	YJR151C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
PAU16	YKL224C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
PAU17	YLL025W	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
PAU18	YLL064C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
PAU23	YLR037C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
AFB1	YLR040C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
YLR046C	YLR046C	response to stress	GO:0006950		biological process	computational	IEA with IPR007568	InterPro	2015-01-03		DDB, et al. (2001)
PAU4	YLR461W	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
HSC82	YMR186W	response to stress	GO:0006950		biological process	computational	IEA with IPR001404, IPR019805	InterPro	2015-01-03		DDB, et al. (2001)
PAU19	YMR325W	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
PAU6	YNR076W	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
PAU20	YOL161C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
TIR4	YOR009W	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
TIR2	YOR010C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
RSB1	YOR049C	response to stress	GO:0006950		biological process	computational	IEA with IPR007568	InterPro	2015-01-03		DDB, et al. (2001)
FRT1	YOR324C	response to stress	GO:0006950		biological process	computational	IEA with IPR025752	InterPro	2015-01-03		DDB, et al. (2001)
PAU21	YOR394W	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
HSP82	YPL240C	response to stress	GO:0006950		biological process	computational	IEA with IPR001404, IPR019805	InterPro	2015-01-03		DDB, et al. (2001)
PAU22	YPL282C	response to stress	GO:0006950		biological process	computational	IEA with IPR000992	InterPro	2015-01-03		DDB, et al. (2001)
